Songs and Singers,Happy,Sad,Romance,Fast
Memories – Maroon5,3,8,1,1
Closer – The Chainsmokers,7,0,9,3
Rap God – Eminem,6,2,0,10
Steal My Girl – One Direction,8,1,8,6
Love Me Like You Do – Ellie Goulding,7,1,8,7
2U – Justin Bieber,8,1,7,7
Lose Yourself – Eminem,5,3,0,7
Summer of ‘69 – Bryan Adams,8,0,2,8
Hey Jude - The Beatles,6,4,7,3
Paper Cut – Linkin Park,4,4,0,9
The Nights – Avicii,8,1,2,8
Photograph – Ed Sheeran,3,7,8,2
You belong with me – Taylor Swift,6,2,7,7
Taki Taki – DJ Snake,8,0,6,6
What Do You Mean ? - Justin Bieber,7,3,6,3
