Serial No.,GREScore,TOEFLScore,UniversityRating,SOP,LOR,CGPA,Research,ChanceofAdmit
93,298,98,2,4,3,8.03,0,0.34
377,297,96,2,2.5,2,7.43,0,0.34
59,300,99,1,3,2,6.8,1,0.36
95,303,99,3,2,2.5,7.66,0,0.36
92,299,97,3,5,3.5,7.66,0,0.38
376,304,101,2,2,2.5,7.66,0,0.38
375,315,105,2,2,2.5,7.65,0,0.39
60,311,104,2,2,2,8.3,0,0.42
96,304,100,4,1.5,2.5,7.84,0,0.42
348,299,94,1,1,1,7.34,0,0.42
330,297,96,2,2.5,1.5,7.89,0,0.43
28,298,98,2,1.5,2.5,7.5,1,0.44
79,296,95,2,3,2,7.54,1,0.44
94,301,97,2,3,3,7.88,1,0.44
10,323,108,3,3.5,3,8.6,0,0.45
118,290,104,4,2,2.5,7.46,0,0.45
29,295,93,1,2,2,7.2,0,0.46
41,308,110,3,3.5,3,8,1,0.46
58,298,99,2,4,2,7.6,0,0.46
80,294,93,1,1.5,2,7.36,0,0.46
387,302,101,2,2.5,3.5,7.96,0,0.46
62,307,101,3,4,3,8.2,0,0.47
119,296,99,2,3,3.5,7.28,0,0.47
345,295,96,2,1.5,2,7.34,0,0.47
347,304,97,2,1.5,2,7.64,0,0.47
378,290,100,1,1.5,2,7.56,0,0.47
40,307,108,2,4,3.5,7.7,0,0.48
61,309,100,2,3,3,8.1,0,0.48
97,306,100,2,3,3,8,0,0.48
42,316,105,2,2.5,2.5,8.2,1,0.49
273,294,95,1,1.5,1.5,7.64,0,0.49
346,316,98,1,1.5,2,7.43,0,0.49
389,296,97,2,1.5,2,7.8,0,0.49
9,302,102,1,2,1.5,8,0,0.5
81,312,105,3,2,3,8.02,1,0.5
369,298,92,1,2,2,7.88,0,0.51
11,325,106,3,3.5,4,8.4,1,0.52
39,304,105,1,3,1.5,7.5,0,0.52
65,325,111,3,3,3.5,8.7,0,0.52
160,297,100,1,1.5,2,7.9,0,0.52
274,312,99,1,1,1.5,8.01,1,0.52
43,313,107,2,2.5,2,8.5,1,0.53
